Glyph,shape,"etymic meaning","symbolic meaning"
Æth,"A looped shape with a small tail at the bottom, resembling a stylized ""a"" with a flourish.","""""Aether"""" to evoke the concept of a mystical or divine substance.""","*Balance*: Representing equilibrium and harmony, th symbolizes the balance between different forces and elements in the universe."
Bhyr,"A shape similar to a ""b"" but with an additional curve at the top, almost like a ""b"" with a hat.","""""Bramble"""" to suggest something intricate and intertwined.""","*Strength*: Bhyr embodies physical and mental strength, resilience, and the ability to overcome challenges."
Chyr,"A combination of ""c"" and ""y,"" where the tail of the ""c"" wraps around to form a loop.","""""Chimera"""" to evoke a mythical and fantastical creature.""","*Wisdom*: Chyr stands for knowledge, insight, and the pursuit of wisdom, guiding individuals toward understanding and enlightenment."
Dhyr,"A ""d"" with a horizontal line through the middle, creating a cross shape.","""""Dusk"""" to convey a sense of twilight or transition.""","*Change*: Dhyr represents transformation, growth, and the cyclical nature of life, symbolizing the constant flux and evolution of all things."
Eyr,"An ""e"" with a diagonal line crossing it from the bottom left to the top right.","""""Echo"""" to suggest a sound that carries through time and space""","*Creativity*: Eyr embodies imagination, innovation, and the creative spark that drives artistic expression and problem-solving."
Fyr,"A ""f"" with an additional curve at the top, making it look like a ""f"" with a hat.","""""Frost"""" to evoke the crisp and cool essence of winter.""","*Passion*: Fyr symbolizes intense emotion, desire, and the fiery spirit that fuels one's passions and drives them forward."
Ghyr,"A ""g"" with an additional loop at the top, resembling a ""g"" with a curly top.","""""Glimmer"""" to suggest a fleeting spark of light.""","*Connection*: Ghyr represents unity, bonds, and the interconnectedness of all things, emphasizing the importance of relationships and community."
Hyr,"An ""h"" with a vertical line extending from the middle to the bottom, creating a stylized look.","""""Harmony"""" to convey a sense of unity and balance.""","*Protection*: Hyr symbolizes safeguarding, defense, and the preservation of what is valuable, embodying the spirit of guardianship and care."
Iyr,"An ""i"" with a small loop at the top, making it look like a ""i"" with a hat.","""""Ignis"""" to represent fire and passion.""","*Purity*: Iyr stands for innocence, clarity, and the essence of pure intent, reflecting the untainted nature of the human spirit."
Jyr,"A ""j"" with an additional curve at the top, resembling a ""j"" with a curly top.","""""Jade"""" to evoke the smooth and precious quality of the gemstone.""","*Adaptability*: Jyr embodies flexibility, adaptability, and the ability to thrive in diverse circumstances, reflecting the resilience of life."
Kyr,"A ""k"" with a diagonal line crossing it from the top left to the bottom right.","""""Kaleidoscope"""" to suggest a dynamic and ever-changing pattern.""","*Courage*: Kyr symbolizes bravery, valor, and the willingness to face challenges head-on, representing the strength of heart and mind."
Lyr,"An ""l"" with a small loop at the top, making it look like an ""l"" with a hat.","""""Luminous"""" to convey a bright and radiant quality.""","*Light*: Lyr represents illumination, hope, and the guiding light that leads one through darkness, embodying the power of positivity and enlightenment."
